,year,prmm
0,2015,52.080088667571545
1,2016,110.07742546498775
2,2017,81.0374753549695
3,2018,84.2544263228774
4,2019,51.80656369775534
5,2020,86.67141683399677
6,2021,66.16445202380419
7,2022,94.31813657283783
8,2023,44.27123945206404
9,2024,53.946624509990215
10,2025,109.86413955688477
11,2026,72.51136489212513
12,2027,76.99922528117895
13,2028,53.93493175506592
14,2029,82.6584130525589
15,2030,101.47409252822399
16,2031,50.03721099346876
17,2032,65.5498506501317
18,2033,60.20629685372114
19,2034,57.89885614067316
20,2035,66.02190099656582
21,2036,46.62881065160036
22,2037,66.49650111794472
23,2038,54.848198778927326
24,2039,75.83985719829798
25,2040,48.75330626964569
26,2041,70.32934594899416
27,2042,64.68636207282543
28,2043,35.50847768783569
29,2044,64.90422952920198
30,2045,81.90516326576471
31,2046,58.40000510215759
32,2047,83.14721044152975
33,2048,60.09932700544596
34,2049,42.90062226355076
35,2050,56.53195548802614
36,2051,60.53568050265312
37,2052,84.8561279475689
38,2053,33.22139997035265
39,2054,72.99182899296284
40,2055,66.59317631274462
41,2056,59.32981800287962
42,2057,53.02145350724459
43,2058,39.483803138136864
44,2059,85.73486991226673
45,2060,104.65641282498837
46,2061,88.02709244191647
47,2062,64.26015235483646
48,2063,67.33676511794329
49,2064,84.53139625489712
50,2065,68.24218165129423
51,2066,80.35113830119371
52,2067,73.27257581055164
53,2068,101.26404538750648
54,2069,63.9504024758935
55,2070,124.79101493954659
56,2071,81.58806078135967
57,2072,66.74191318452358
58,2073,47.03916348516941
59,2074,76.31130404770374
60,2075,60.909365862607956
61,2076,76.39922853559256
62,2077,77.77075599879026
63,2078,75.82178749144077
64,2079,93.87287646532059
65,2080,55.830561183393
66,2081,60.73025297373533
67,2082,62.6196613535285
68,2083,63.61682955175638
69,2084,54.85673323273659
70,2085,61.06198523193598
71,2086,59.1169998049736
72,2087,82.67092052847147
73,2088,75.9135140106082
74,2089,89.54502828419209
75,2090,78.48998364061117
76,2091,91.77740402519703
77,2092,54.79381866753101
78,2093,127.03896090388298
79,2094,37.552504520863295
80,2095,107.08128400146961
81,2096,77.96298991888762
82,2097,62.97495514154434
83,2098,59.05666518956423
84,2099,103.07688005268574
85,2100,72.13634178042412
